month,year,butali,chemelil,muhoroni,kibos,westKenya,nzoia,kwale,combined
Oct,2023,11.671,16.2,12.7,12.609375,16.1,13.1,17.0,14.197196428571427
Nov,2023,15.0,14.5,11.151666666666666,12.52298969072165,13.7,14.2,14.3,13.62495090819833
Dec,2023,17.2,15.8,14.2,11.4,14.5,15.4,16.1,14.942857142857141
Jan,2024,12.341471698113207,12.3,11.09983606557377,11.394545454545455,11.21945945945946,10.566666666666666,11.7,11.51742562062265
Feb,2024,12.432966101694914,11.612105263157895,11.921914893617021,16.7,11.623548387096774,11.693103448275863,11.5,12.49766258483464
Mar,2024,12.695625,11.845,12.8,14.2,11.355,11.950555555555557,11.69,12.362311507936509
Apr,2024,11.852678571428571,17.2,10.750666666666666,17.1,10.825111111111111,10.241343283582088,11.29910447761194,12.752700587200053
May,2024,12.2275,11.284999999999998,17.5,12.9,13.2,8.0,12.3,12.487499999999999
Jun,2024,11.7584375,11.281666666666666,12.395000000000001,12.029226519337016,11.39670731707317,10.086533333333334,10.876000000000001,11.403367333772886
Jul,2024,13.8,11.9,11.477669902912622,13.13,17.8,10.074642857142857,13.2,13.054616108579356
Aug,2024,16.4,12.5,10.91,10.82304347826087,15.4,11.207764705882353,14.8,13.148686883449033
Sep,2024,14.2,13.2,11.459259259259259,12.9175,12.7,10.968524590163936,16.0,13.06361197848903
Oct,2024,15.8,14.8,15.9,13.2,13.5,16.2,14.3,14.814285714285715
Nov,2024,12.5,15.7,13.4,15.8,17.2,17.1,16.8,15.500000000000002
Dec,2024,17.3,16.3,16.2,12.4,14.8,11.7,13.7,14.62857142857143
